eligibility_datetime_utc,item_id,eligibility,message
04-06-2025 08:50,29,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
04-06-2025 08:50,270,TRUE,
04-06-2025 08:50,31,TRUE,
04-06-2025 08:50,26,TRUE,
04-06-2025 08:50,25,TRUE,
04-06-2025 08:50,34,TRUE,
04-06-2025 08:50,28,TRUE,
04-06-2025 08:50,32,TRUE,
04-06-2025 08:50,33,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
04-06-2025 08:50,27,TRUE,
04-06-2025 08:50,23,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
04-06-2025 08:50,24,TRUE,
04-06-2025 08:50,35,TRUE,
04-06-2025 08:50,30,TRUE,
04-06-2025 08:50,36,TRUE,
04-06-2025 08:50,19,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
04-06-2025 08:50,15,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
04-06-2025 08:50,16,TRUE,
04-06-2025 08:50,18,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
04-06-2025 08:50,17,TRUE,
04-06-2025 08:50,21,TRUE,
04-06-2025 08:50,20,TRUE,
04-06-2025 08:50,22,TRUE,
04-06-2025 08:50,13,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
04-06-2025 08:50,38,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
04-06-2025 08:50,5,TRUE,
04-06-2025 08:50,7,TRUE,
04-06-2025 08:50,42,TRUE,
04-06-2025 08:50,14,TRUE,
04-06-2025 08:50,10,TRUE,
04-06-2025 08:50,6,TRUE,
04-06-2025 08:50,271,TRUE,
04-06-2025 08:50,4,TRUE,
04-06-2025 08:50,40,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
04-06-2025 08:50,8,TRUE,
04-06-2025 08:50,39,TRUE,
04-06-2025 08:50,9,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
04-06-2025 08:50,3,TRUE,
04-06-2025 08:50,43,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
04-06-2025 08:50,11,TRUE,
04-06-2025 08:50,2,TRUE,
04-06-2025 08:50,41,TRUE,
04-06-2025 08:50,44,TRUE,
04-06-2025 08:50,1,TRUE,
04-06-2025 08:50,12,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
04-06-2025 08:50,0,TRUE,
04-06-2025 08:50,37,TRUE,
04-06-2025 08:50,49,TRUE,
04-06-2025 08:50,52,TRUE,
04-06-2025 08:50,50,TRUE,
04-06-2025 08:50,46,TRUE,
04-06-2025 08:50,48,TRUE,
